Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-06-24,0.0,6.6,0.0,0.632496128615,0.292347801358,0.0,0.0,0.0,0.283120063143,221.042785107,,
2002-06-25,0.0,5.8,0.0,0.540071866147,0.291791026238,0.0,0.0,0.0,0.27785296637,221.042898446,,
2002-06-26,0.0,6.2,0.0,0.562934844483,0.291210681038,0.0,0.0,0.0,0.27248568652,221.042858309,,
2002-06-27,0.0,6.5,0.0,0.574455944767,0.290618458414,0.0,0.0,0.0,0.267032322555,221.042662406,,
2002-06-28,0.0,6.9,0.0,0.592780679405,0.290007344312,0.0,0.0,0.0,0.261506468603,221.042308838,,
2002-06-29,0.0,6.7,0.0,0.558538362033,0.289431531567,0.0,0.0,0.0,0.25592119618,221.041796085,,
2002-06-30,0.0,6.4,0.0,0.518174175127,0.288897331387,0.0,0.0,0.0,0.25028904015,221.041122983,,
2002-07-01,0.0,7.2,0.0,0.566919941601,0.288312877839,0.0,0.0,0.0,0.244621988184,221.040288712,,
2002-07-02,0.0,7.3,0.0,0.557016700926,0.287738633817,0.0,0.0,0.0,0.23893147346,221.039292783,,
2002-07-03,0.0,8.0,0.0,0.591287793903,0.287129058772,0.0,0.0,0.0,0.233228370372,221.038135014,,
2002-07-04,0.0,8.1,0.0,0.578105733549,0.28653307348,0.0,0.0,0.0,0.227522993013,221.036815521,,
2002-07-05,0.0,8.6,0.0,0.592435133016,0.28592231561,0.0,0.0,0.0,0.221825096186,221.035334697,,
2002-07-06,0.0,7.7,0.0,0.510840959168,0.285395675446,0.0,0.0,0.0,0.216143878743,221.033693198,,
2002-07-07,0.0,7.0,0.0,0.449040533851,0.284932747061,0.0,0.0,0.0,0.210487989013,221.031891926,,
2002-07-08,0.0,6.8,0.0,0.423094500059,0.284496567164,0.0,0.0,0.0,0.204865532125,221.029932013,,
2002-07-09,0.0,6.2,0.0,0.374494651735,0.284110490203,0.0,0.0,0.0,0.199284079024,221.027814809,,
2002-07-10,0.9,5.7,0.0,0.335124142331,0.283765001397,0.0,0.0,0.0,0.193750676988,221.025541859,,
2002-07-11,0.0,7.8,0.0,0.447362545398,0.283303802896,0.0,0.0,0.0,0.188271861469,221.023114898,,
2002-07-12,0.0,7.5,0.0,0.415743840515,0.282875200999,0.0,0.0,0.0,0.18285366909,221.020535827,,
2002-07-13,0.0,8.4,0.0,0.450632034966,0.282410631891,0.0,0.0,0.0,0.177501651625,221.017806708,,
2002-07-14,0.0,8.3,0.0,0.429201019557,0.281968156613,0.0,0.0,0.0,0.172220890831,221.014929741,,
2002-07-15,0.0,8.0,0.0,0.398938553764,0.281556879753,0.0,0.0,0.0,0.167016013974,221.011907261,,
2002-07-16,0.0,8.5,0.0,0.409306157932,0.281134914642,0.0,0.0,0.0,0.161891209921,221.008741716,,
2002-07-17,0.0,8.7,0.0,0.403640655776,0.280718790255,0.0,0.0,0.0,0.156850245688,221.005435661,222.12,
2002-07-18,0.0,8.5,0.0,0.379623821521,0.28032742549,0.0,0.0,0.0,0.151896483313,221.001991743,,
2002-07-19,0.0,7.8,0.0,0.335641328433,0.279981403502,0.0,0.0,0.0,0.147032896959,220.998412692,,
2002-07-20,0.0,5.9,0.0,0.245376169428,0.279728438379,0.0,0.0,0.0,0.142262090157,220.994701309,,
2002-07-21,0.0,6.2,0.0,0.251317991459,0.279469347666,0.0,0.0,0.0,0.137586313085,220.990860456,,
2002-07-22,0.0,4.5,0.0,0.177550268741,0.279286306152,0.0,0.0,0.0,0.133007479827,220.986893047,,
2002-07-23,0.0,6.6,0.0,0.255373419181,0.279023034586,0.0,0.0,0.0,0.128527185516,220.982802038,,
2002-07-24,0.0,7.3,0.0,0.27445063532,0.278740095787,0.0,0.0,0.0,0.124146723312,220.978590419,,
2002-07-25,0.0,7.4,0.0,0.269486286753,0.278462274872,0.0,0.0,0.0,0.119867101157,220.974261204,,
2002-07-26,0.0,8.0,0.0,0.28207582908,0.278171475049,0.0,0.0,0.0,0.115689058241,220.969817426,,
2002-07-27,0.0,7.8,0.0,0.26557293908,0.277897688513,0.0,0.0,0.0,0.111613081162,220.96526213,,
2002-07-28,0.0,7.5,0.0,0.246802766046,0.277643252672,0.0,0.0,0.0,0.107639419702,220.960598361,,
2002-07-29,0.0,8.6,0.0,0.273883220753,0.277360898836,0.0,0.0,0.0,0.103768102227,220.955829166,222.12,
2002-07-30,0.0,7.8,0.0,0.239229212182,0.277114270783,0.0,0.0,0.0,0.0999989506462,220.95095758,,
2002-07-31,0.0,8.0,0.0,0.237142359419,0.276869794123,0.0,0.0,0.0,0.0963315949303,220.945986625,,
2002-08-01,0.0,7.9,0.0,0.226130723227,0.276636669666,0.0,0.0,0.0,0.0927654871554,220.940919305,,
2002-08-02,0.0,7.7,0.0,0.212926485131,0.276417157826,0.0,0.0,0.0,0.0892999150636,220.935758598,,
2002-08-03,0.0,6.8,0.0,0.181819471739,0.276229715072,0.0,0.0,0.0,0.0859340151246,220.930507457,,
2002-08-04,0.0,6.7,0.0,0.173912879085,0.276050423444,0.0,0.0,0.0,0.0826667850909,220.925168802,,
2002-08-05,0.0,6.7,0.0,0.168907654473,0.275876291841,0.0,0.0,0.0,0.0794970960397,220.919745515,,
2002-08-06,0.0,7.2,0.0,0.176288755237,0.275694550856,0.0,0.0,0.0,0.0764237039004,220.914240444,,
2002-08-07,0.0,7.2,0.0,0.170836525694,0.275518430727,0.0,0.0,0.0,0.0734452604647,220.90865639,,
2002-08-08,0.0,7.6,0.0,0.174750306351,0.275338275772,0.0,0.0,0.0,0.0705603238841,220.902996115,,
2002-08-09,0.0,8.0,0.0,0.177942525729,0.275154829869,0.0,0.0,0.0,0.067767368656,220.897262329,,
2002-08-10,0.0,3.7,0.0,0.0794702938148,0.275072901731,0.0,0.0,0.0,0.0650647951063,220.891457699,,
2002-08-11,0.0,7.0,0.0,0.147959633824,0.274920366026,0.0,0.0,0.0,0.0624509383745,220.885584836,,
2002-08-12,0.0,6.8,0.0,0.139410370741,0.274776643994,0.0,0.0,0.0,0.0599240769118,220.879646303,,
2002-08-13,0.0,7.5,0.0,0.149270124827,0.274622757268,0.0,0.0,0.0,0.0574824404999,220.873644607,,
2002-08-14,0.0,5.8,0.0,0.111716633972,0.27450758548,0.0,0.0,0.0,0.0551242178042,220.867582201,,
2002-08-15,0.0,6.6,0.0,0.123958600706,0.274379793108,0.0,0.0,0.0,0.0528475634719,220.861461485,,
2002-08-16,0.0,7.0,0.0,0.127743965661,0.274248098298,0.0,0.0,0.0,0.0506506047887,220.855284799,,
2002-08-17,0.0,7.0,0.0,0.123902867037,0.274120363384,0.0,0.0,0.0,0.0485314479071,220.849054429,,
2002-08-18,0.0,6.4,0.0,0.109876356905,0.274007088789,0.0,0.0,0.0,0.046488183661,220.842772602,,
