# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
27,24,739553.621,4555450.123
27,25,739583.621,4555450.123
27,26,739628.621,4555465.123
27,27,739663.621,4555495.123
27,28,739693.621,4555495.123
27,29,739713.621,4555485.123
27,30,739748.621,4555455.123
27,31,739758.621,4555455.123
27,32,739783.621,4555425.123
27,33,739793.621,4555420.123
27,34,739823.621,4555420.123
28,0,740153.621,4555650.123
28,1,740133.621,4555620.123
28,2,740103.621,4555595.123
28,3,740073.621,4555590.123
28,4,740058.621,4555575.123
28,5,740043.621,4555575.123
28,6,739998.621,4555530.123
28,7,739978.621,4555525.123
28,8,739908.621,4555445.123
28,9,739893.621,4555435.123
28,10,739883.621,4555435.123
28,11,739873.621,4555425.123
28,12,739823.621,4555425.123
28,13,739823.621,4555420.123
29,0,740163.621,4555370.123
29,1,740148.621,4555355.123
29,2,740148.621,4555335.123
30,0,740143.621,4555330.123
30,1,740143.621,4555335.123
30,2,740148.621,4555335.123
31,0,740143.621,4555330.123
31,1,740148.621,4555330.123
32,0,739823.621,4555420.123
32,1,739858.621,4555405.123
32,2,739878.621,4555405.123
32,3,739878.621,4555395.123
32,4,739888.621,4555385.123
32,5,739928.621,4555385.123
32,6,739948.621,4555365.123
32,7,739958.621,4555365.123
32,8,740003.621,4555330.123
32,9,740038.621,4555315.123
33,0,740038.621,4555315.123
33,1,740083.621,4555310.123
33,2,740103.621,4555325.123
33,3,740143.621,4555330.123
34,0,740148.621,4555330.123
34,1,740168.621,4555330.123
34,2,740243.621,4555290.123
35,0,740243.621,4555290.123
35,1,740248.621,4555290.123
36,0,740248.621,4555290.123
36,1,740268.621,4555290.123
36,2,740298.621,4555320.123
36,3,740323.621,4555335.123
36,4,740333.621,4555335.123
36,5,740343.621,4555345.123
36,6,740353.621,4555345.123
36,7,740423.621,4555395.123
36,8,740438.621,4555395.123
36,9,740453.621,4555405.123
36,10,740488.621,4555445.123
36,11,740513.621,4555455.123
36,12,740538.621,4555485.123
36,13,740578.621,4555515.123
36,14,740593.621,4555515.123
36,15,740613.621,4555530.123
36,16,740708.621,4555535.123
36,17,740713.621,4555540.123
36,18,740728.621,4555540.123
36,19,740738.621,4555550.123
36,20,740838.621,4555555.123
37,0,740248.621,4555290.123
37,1,740248.621,4555285.123
38,0,740248.621,4555285.123
38,1,740273.621,4555265.123
38,2,740278.621,4555240.123
38,3,740333.621,4555180.123
39,0,740333.621,4555180.123
39,1,740333.621,4555175.123
40,0,740333.621,4555180.123
40,1,740338.621,4555180.123
40,2,740338.621,4555175.123
41,0,740333.621,4555175.123
41,1,740333.621,4555170.123
42,0,740338.621,4555175.123
42,1,740338.621,4555170.123
43,0,740333.621,4555170.123
43,1,740333.621,4555165.123
44,0,740338.621,4555170.123
44,1,740338.621,4555165.123
45,0,740338.621,4555165.123
45,1,740383.621,4555125.123
45,2,740408.621,4555125.123
45,3,740428.621,4555105.123
45,4,740458.621,4555105.123
45,5,740618.621,4555255.123
45,6,740638.621,4555260.123
45,7,740673.621,4555280.123
45,8,740713.621,4555325.123
45,9,740728.621,4555325.123
45,10,740763.621,4555350.123
45,11,740788.621,4555350.123
45,12,740808.621,4555370.123
45,13,740868.621,4555395.123
45,14,740913.621,4555390.123
45,15,740938.621,4555370.123
45,16,740951.121,4555367.623
46,0,740951.121,4555367.623
46,1,740973.621,4555365.123
46,2,740993.621,4555345.123
46,3,741003.621,4555345.123
46,4,741038.621,4555305.123
46,5,741063.621,4555295.123
46,6,741083.621,4555275.123
46,7,741098.621,4555275.123
46,8,741123.621,4555250.123
46,9,741158.621,4555240.123
46,10,741208.621,4555195.123
46,11,741228.621,4555195.123
46,12,741238.621,4555180.123
46,13,741278.621,4555145.123
46,14,741283.621,4555130.123
46,15,741298.621,4555125.123
46,16,741328.621,4555095.123
46,17,741343.621,4555095.123
46,18,741358.621,4555075.123
46,19,741378.621,4555075.123
46,20,741408.621,4555045.123
46,21,741493.621,4555040.123
46,22,741523.621,4555070.123
46,23,741543.621,4555075.123
46,24,741563.621,4555095.123
46,25,741583.621,4555100.123
46,26,741623.621,4555135.123
47,0,740333.621,4555165.123
47,1,740333.621,4555145.123
47,2,740323.621,4555135.123
47,3,740323.621,4555115.123
47,4,740308.621,4555080.123
47,5,740308.621,4555030.123
47,6,740318.621,4555015.123
47,7,740323.621,4554975.123
48,0,740323.621,4554975.123
48,1,740358.621,4554960.123
48,2,740388.621,4554935.123
48,3,740423.621,4554930.123
48,4,740473.621,4554895.123
48,5,740478.621,4554885.123
48,6,740498.621,4554875.123
48,7,740538.621,4554875.123
48,8,740548.621,4554865.123
48,9,740568.621,4554865.123
48,10,740583.621,4554855.123
48,11,740628.621,4554855.123
48,12,740638.621,4554845.123
48,13,740653.621,4554845.123
48,14,740663.621,4554835.123
48,15,740678.621,4554835.123
48,16,740723.621,4554805.123
48,17,740733.621,4554805.123
48,18,740748.621,4554780.123
49,0,740748.621,4554780.123
49,1,740748.621,4554775.123
